2026-03-17 14:16:34 [ERROR] ErrorResponse(status=404, message=student not found not found null, path=/addresses/rollNumber/3, timestamp=2026-03-17T08:46:34.786067400Z, error={code=RESOURCE_NOT_FOUND})
2026-03-17 14:17:34 [ERROR] ErrorResponse(status=404, message=student not found not found null, path=/addresses/rollNumber/3, timestamp=2026-03-17T08:47:34.197675800Z, error={code=RESOURCE_NOT_FOUND})
2026-03-17 14:18:09 [ERROR] ErrorResponse(status=404, message=student not found not found null, path=/addresses/rollNumber/3, timestamp=2026-03-17T08:48:09.214575Z, error={code=RESOURCE_NOT_FOUND})
2026-03-17 14:25:55 [ERROR] ErrorResponse(status=500, message=Status code '2000' should be a three-digit positive integer, path=/students/delete/2, timestamp=2026-03-17T08:55:55.187793800Z, error=null)
2026-03-17 14:26:37 [ERROR] ErrorResponse(status=500, message=Status code '2000' should be a three-digit positive integer, path=/students/delete/1, timestamp=2026-03-17T08:56:37.175702Z, error=null)
2026-03-17 14:27:40 [ERROR] ErrorResponse(status=404, message=student not found not found 1, path=/students/delete/1, timestamp=2026-03-17T08:57:40.248957900Z, error={code=RESOURCE_NOT_FOUND})
2026-03-17 14:27:46 [ERROR] ErrorResponse(status=404, message=student not found not found 2, path=/students/delete/2, timestamp=2026-03-17T08:57:46.259868200Z, error={code=RESOURCE_NOT_FOUND})
2026-03-17 14:31:49 [ERROR] ErrorResponse(status=500, message=Status code '2000' should be a three-digit positive integer, path=/students/delete/3, timestamp=2026-03-17T09:01:49.867060300Z, error=null)
2026-03-17 14:41:35 [ERROR] ErrorResponse(status=500, message=Status code '2000' should be a three-digit positive integer, path=/students/delete/4, timestamp=2026-03-17T09:11:35.057059500Z, error=null)
2026-03-17 16:13:16 [ERROR] ErrorResponse(status=500, message=Required request parameter 'intructorId' for method parameter type Long is not present, path=/courses/assign, timestamp=2026-03-17T10:43:16.686572400Z, error=null)
2026-03-17 16:16:36 [ERROR] ErrorResponse(status=500, message=No static resource instrcutors/all for request '/instrcutors/all'., path=/instrcutors/all, timestamp=2026-03-17T10:46:36.423799600Z, error=null)
2026-03-17 17:31:48 [ERROR] ErrorResponse(status=500, message=Could not write JSON: Document nesting depth (501) exceeds the maximum allowed (500, from `StreamWriteConstraints.getMaxNestingDepth()`), path=/instructors/all, timestamp=2026-03-17T12:01:48.724380500Z, error=null)
